unix,date,symbol,open,high,low,close,Volume SOL,Volume UST
1652148000,2022-05-10 02:00:00,SOL/UST,80.964,92.085,80.571,90.5,2521.11171249,218309.75373172833
1652144400,2022-05-10 01:00:00,SOL/UST,80.385,91.33,76.496,81.21,4632.00668305,382851.56914552218
1652140800,2022-05-10 00:00:00,SOL/UST,81.949,99.599,80.306,81.099,5289.51647127,474227.31065623336
1652137200,2022-05-09 23:00:00,SOL/UST,73.88,82.742,73.476,81.949,2621.08967932,202260.49667629856
1652133600,2022-05-09 22:00:00,SOL/UST,75.219,78.922,72.124,73.664,3255.15976777,244258.94821809225
1652130000,2022-05-09 21:00:00,SOL/UST,71.367,75.248,71.131,74.792,4260.07277091,310721.89863057771
1652126400,2022-05-09 20:00:00,SOL/UST,69.685,72.647,69.685,71.279,3780.98854201,269711.60917671716
1652122800,2022-05-09 19:00:00,SOL/UST,69.98,70.768,67.081,69.631,4070.29877756,280887.77953197075
1652119200,2022-05-09 18:00:00,SOL/UST,68.46,71.085,67,69.965,4037.32398403,277115.97193904385
1652115600,2022-05-09 17:00:00,SOL/UST,67.987,69.818,66.251,68.561,3257.05158985,222586.4849822007
1652112000,2022-05-09 16:00:00,SOL/UST,70.921,71.68,66.649,68.013,4483.24844184,314768.42764321929
1652108400,2022-05-09 15:00:00,SOL/UST,72.056,72.411,70.183,70.971,1935.97600816,137574.1359265121
1652104800,2022-05-09 14:00:00,SOL/UST,72.198,72.423,71.163,71.839,1825.02004831,131137.35045882321
1652101200,2022-05-09 13:00:00,SOL/UST,71.774,73.556,71.213,72.152,2353.12020061,169680.02902659369
1652097600,2022-05-09 12:00:00,SOL/UST,72.537,72.606,71.59,71.705,903.46907953,65124.1271229209
1652094000,2022-05-09 11:00:00,SOL/UST,71.947,72.657,71.438,72.603,1414.60306667,101755.47948837407
1652090400,2022-05-09 10:00:00,SOL/UST,74.492,74.573,71.417,71.651,1917.8871,139608.5444882
1652086800,2022-05-09 09:00:00,SOL/UST,75.096,75.588,74.387,74.429,786.6757,58690.2173917
1652083200,2022-05-09 08:00:00,SOL/UST,74.381,75.239,73.974,75.239,632.3308296,47057.71669139566
1652079600,2022-05-09 07:00:00,SOL/UST,74.623,75.018,74.296,74.349,584.06898421,43568.04791082908
1652076000,2022-05-09 06:00:00,SOL/UST,74.688,75,73.809,74.64,807.43812965,60057.7052659954
1652072400,2022-05-09 05:00:00,SOL/UST,75.692,75.736,74.726,74.726,572.587,43102.8315007
1652068800,2022-05-09 04:00:00,SOL/UST,75.659,76.271,75.44,75.618,556.17751501,42153.07092107674
1652065200,2022-05-09 03:00:00,SOL/UST,74.895,76.718,74.724,75.726,857.5625,65085.9346492
1652061600,2022-05-09 02:00:00,SOL/UST,76.118,76.118,74.245,74.773,1094.2031897,82091.9805632792
1652058000,2022-05-09 01:00:00,SOL/UST,76.937,77.533,76.147,76.147,763.28943391,58745.00939471327
1652054400,2022-05-09 00:00:00,SOL/UST,75.731,77.427,75.678,77.043,265.90201899,20429.58190532164
1652050800,2022-05-08 23:00:00,SOL/UST,76.183,76.254,75.136,75.86,364.2235,27537.7651893
1652047200,2022-05-08 22:00:00,SOL/UST,76.764,76.764,75.729,76.367,2099.45477049,159843.28853011876
1652043600,2022-05-08 21:00:00,SOL/UST,76.431,76.864,76.431,76.819,289.945471,22196.2595649317
1652040000,2022-05-08 20:00:00,SOL/UST,76.726,76.726,76.118,76.281,760.67229059,58108.09523031886
1652036400,2022-05-08 19:00:00,SOL/UST,76.643,77.108,76.56,76.703,201.95002308,15533.7531465541
1652032800,2022-05-08 18:00:00,SOL/UST,75.327,76.78,74.663,76.71,650.13540876,49251.29583442339
